0	1	2
3	4	5
6	7	2
8	9	10
0	7	11
12	13	14
10	15	8
5	14	3
16	2	13
1	4	17
6	2	16
14	18	12
4	3	17
19	20	21
5	22	18
2	1	17
2	7	23
21	18	19
16	13	12
24	25	26
27	18	28
29	30	31
25	32	28
34	33	6
10	35	30
36	37	1
23	0	2
30	26	15
22	38	15
39	40	41
7	33	20
42	11	7
43	35	40
44	34	21
18	27	19
46	45	9
47	34	6
19	27	32
47	21	34
24	29	42
44	33	34
48	38	49
37	46	1
37	36	39
25	22	15
20	32	42
28	22	25
18	14	5
20	42	7
23	7	0
48	49	9
37	41	45
9	8	48
21	20	44
5	4	49
31	43	42
44	20	33
28	32	27
30	35	31
39	36	0
2	17	13
26	30	24
12	18	16
30	15	10
31	42	29
42	32	24
15	26	25
18	47	16
5	38	22
32	20	19
1	46	4
40	11	43
41	37	39
9	45	10
13	17	14
40	35	45
15	38	48
48	8	15
6	33	7
46	9	49
11	40	39
5	49	38
18	21	47
30	29	24
49	4	46
37	45	46
43	11	42
1	0	36
10	45	35
0	11	39
45	41	40
35	43	31
18	22	28
16	47	6
17	3	14
32	25	24
